trt,hibr,ph,planta,altura,ps,p,zn,nit,fe,spad
sulfato,3,alcalino,6,234,243.9,NA,NA,NA,NA,NA
sulfato,3,alcalino,7,289,255.38,NA,NA,NA,NA,NA
sulfato,3,alcalino,8,273,276.24,NA,NA,NA,NA,NA
sulfato,3,alcalino,9,260,348.61,NA,NA,NA,NA,NA
sulfato,3,alcalino,10,202.99999999999997,117.25,NA,NA,NA,NA,NA
urea,1,neutro,1,254.99999999999997,217.12,274.4778600000001,1.3604554800000004,0.35494713076199436,34.36940160000001,30.8
urea,1,neutro,2,245.00000000000003,165,334.14696000000004,1.3180400000000003,0.43070541310541316,21.7195524,16.65
urea,1,neutro,3,252.99999999999997,176.2,319.02920000000006,1.2386400000000002,0.3655872763419483,15.2752896,20.96
urea,1,neutro,4,215,165.02,330.96460800000006,1.2331614000000002,0.3238980169971672,16.1504364,13.04
urea,1,neutro,5,222.00000000000003,97.9,274.4064,1.3604554800000004,0.45294090909090906,14.957054400000002,21.85
urea,1,neutro,6,270,175.11,NA,NA,NA,NA,NA
urea,1,neutro,7,260,226.78,NA,NA,NA,NA,NA
urea,1,neutro,8,229.99999999999997,146.1,NA,NA,NA,NA,NA
urea,1,neutro,9,227.99999999999997,131.86,NA,NA,NA,NA,NA
urea,1,neutro,10,220.00000000000003,86.86,NA,NA,NA,NA,NA
urea,1,alcalino,1,241,106.49,179.397,0.9737937,0.1271871301775148,27.117126000000006,11.15
urea,1,alcalino,2,236,86.36,169.13259000000002,0.9225414000000001,0.11056279287722587,24.880661999999997,9.68
urea,1,alcalino,3,210,178.94,155.62062,0.8340147,0.09918934184675834,25.486371,NA
urea,1,alcalino,4,195,94.03,158.88213000000002,1.0880999999999998,0.0846756496631376,22.970349,7.62
urea,1,alcalino,5,217,61.68,151.42725,0.9020999999999999,0.09229956268221573,22.131674999999998,10.63
urea,1,alcalino,6,150,67.65,NA,NA,NA,NA,NA
urea,1,alcalino,7,193,93.8,NA,NA,NA,NA,NA
urea,1,alcalino,8,227,72.96,NA,NA,NA,NA,NA
urea,1,alcalino,9,153,46.12,NA,NA,NA,NA,NA
urea,1,alcalino,10,NA,NA,NA,NA,NA,NA,NA
urea,2,neutro,1,213,239.76,304.5438,1.66950234,0.3451748031496063,20.6232642,23
urea,2,neutro,2,216,242.4,261.585126,1.71072,0.1893482194417709,15.9807978,19.3
urea,2,neutro,3,210,155,247.300614,2.13374898,0.5068351274787535,14.463068400000001,35.35
urea,2,neutro,4,192,114.39,287.475804,1.8837700199999998,0.2544946223908918,17.85564,19.64
urea,2,neutro,5,225,298.72,200.87595,1.4256,0.3224760626185958,16.3379106,18.3
urea,2,neutro,6,222.00000000000003,175.59,NA,NA,NA,NA,NA
urea,2,neutro,7,204.99999999999997,145.4,NA,NA,NA,NA,NA
