study,year,cultivar,fungic,rep,sev,yield,Yld_level,YR_class,gr_hab,sev_check
6,2012,BMX_Potencia_RR,PROT_TRIF[0.4],2,15,3024,2High,1Low,I,27
6,2012,BMX_Potencia_RR,PROT_TRIF[0.4],3,15,4080,2High,1Low,I,27
6,2012,BMX_Potencia_RR,PROT_TRIF[0.4],4,20,3936,2High,1Low,I,27
6,2012,BMX_Potencia_RR,PROT_TRIF[0.4],5,15,4014,2High,1Low,I,27
6,2012,BMX_Potencia_RR,TIOF[1],1,25,3708,2High,1Low,I,27
6,2012,BMX_Potencia_RR,TIOF[1],2,20,3882,2High,1Low,I,27
6,2012,BMX_Potencia_RR,TIOF[1],3,20,4002,2High,1Low,I,27
6,2012,BMX_Potencia_RR,TIOF[1],4,25,3660,2High,1Low,I,27
6,2012,BMX_Potencia_RR,TIOF[1],5,3,4242,2High,1Low,I,27
6,2012,BMX_Potencia_RR,ZZ_CHECK,1,20,3744,2High,1Low,I,27
6,2012,BMX_Potencia_RR,ZZ_CHECK,2,25,4002,2High,1Low,I,27
6,2012,BMX_Potencia_RR,ZZ_CHECK,3,30,4026,2High,1Low,I,27
6,2012,BMX_Potencia_RR,ZZ_CHECK,4,30,4092,2High,1Low,I,27
6,2012,BMX_Potencia_RR,ZZ_CHECK,5,30,3990,2High,1Low,I,27
7,2012,TMG803,CZM[1],1,42,3215,2High,2High,D,44.8
7,2012,TMG803,CZM[1],2,39,3375,2High,2High,D,44.8
7,2012,TMG803,CZM[1],3,39,3526,2High,2High,D,44.8
7,2012,TMG803,CZM[1],4,40,3295,2High,2High,D,44.8
7,2012,TMG803,CZM_CM_TEBU[1],1,32,3506,2High,2High,D,44.8
7,2012,TMG803,CZM_CM_TEBU[1],2,30,3187,2High,2High,D,44.8
7,2012,TMG803,CZM_CM_TEBU[1],3,30,3171,2High,2High,D,44.8
7,2012,TMG803,CZM_CM_TEBU[1],4,30,3526,2High,2High,D,44.8
7,2012,TMG803,CZM+LS[1+0.5],1,43,3091,2High,2High,D,44.8
7,2012,TMG803,CZM+LS[1+0.5],2,45,3515,2High,2High,D,44.8
7,2012,TMG803,CZM+LS[1+0.5],3,45,3200,2High,2High,D,44.8
7,2012,TMG803,CZM+LS[1+0.5],4,44,3552,2High,2High,D,44.8
7,2012,TMG803,EPO_FLUX_PYRA[0.8],1,8,3425,2High,2High,D,44.8
7,2012,TMG803,EPO_FLUX_PYRA[0.8],2,7,3755,2High,2High,D,44.8
7,2012,TMG803,EPO_FLUX_PYRA[0.8],3,8,3263,2High,2High,D,44.8
7,2012,TMG803,EPO_FLUX_PYRA[0.8],4,8,3910,2High,2High,D,44.8
7,2012,TMG803,EPO_FLUX_PYRA[1],1,5.5,3370,2High,2High,D,44.8
7,2012,TMG803,EPO_FLUX_PYRA[1],2,6,3340,2High,2High,D,44.8
7,2012,TMG803,EPO_FLUX_PYRA[1],3,6.5,3812,2High,2High,D,44.8
7,2012,TMG803,EPO_FLUX_PYRA[1],4,6.5,3740,2High,2High,D,44.8
7,2012,TMG803,FLUO[0.4],1,10,3332,2High,2High,D,44.8
7,2012,TMG803,FLUO[0.4],2,11,3670,2High,2High,D,44.8
7,2012,TMG803,FLUO[0.4],3,10,3199,2High,2High,D,44.8
7,2012,TMG803,FLUO[0.4],4,10,3853,2High,2High,D,44.8
7,2012,TMG803,PROT_TRIF[0.4],1,16,3384,2High,2High,D,44.8
7,2012,TMG803,PROT_TRIF[0.4],2,14,3361,2High,2High,D,44.8
7,2012,TMG803,PROT_TRIF[0.4],3,16,3478,2High,2High,D,44.8
7,2012,TMG803,PROT_TRIF[0.4],4,16,3816,2High,2High,D,44.8
7,2012,TMG803,TIOF[1],1,45,3078,2High,2High,D,44.8
7,2012,TMG803,TIOF[1],2,44,3238,2High,2High,D,44.8
7,2012,TMG803,TIOF[1],3,45,3318,2High,2High,D,44.8
7,2012,TMG803,TIOF[1],4,45,3496,2High,2High,D,44.8
7,2012,TMG803,ZZ_CHECK,1,43,2992,2High,2High,D,44.8
7,2012,TMG803,ZZ_CHECK,2,44,3321,2High,2High,D,44.8
7,2012,TMG803,ZZ_CHECK,3,46,3061,2High,2High,D,44.8
7,2012,TMG803,ZZ_CHECK,4,46,3547,2High,2High,D,44.8
8,2012,M8336_RR,CZM[1],1,41,3492,2High,2High,D,47.8
8,2012,M8336_RR,CZM[1],2,41,3386,2High,2High,D,47.8
8,2012,M8336_RR,CZM[1],3,41,3442,2High,2High,D,47.8
8,2012,M8336_RR,CZM[1],4,37.5,3256,2High,2High,D,47.8
8,2012,M8336_RR,CZM_CM_TEBU[1],1,30,3590,2High,2High,D,47.8
8,2012,M8336_RR,CZM_CM_TEBU[1],2,35,3542,2High,2High,D,47.8
8,2012,M8336_RR,CZM_CM_TEBU[1],3,32.5,3658,2High,2High,D,47.8
8,2012,M8336_RR,CZM_CM_TEBU[1],4,28,3505,2High,2High,D,47.8
8,2012,M8336_RR,CZM+LS[1+0.5],1,30,3584,2High,2High,D,47.8
8,2012,M8336_RR,CZM+LS[1+0.5],2,35,3593,2High,2High,D,47.8
8,2012,M8336_RR,CZM+LS[1+0.5],3,30.5,3443,2High,2High,D,47.8
8,2012,M8336_RR,CZM+LS[1+0.5],4,28,2985,2High,2High,D,47.8
8,2012,M8336_RR,EPO_FLUX_PYRA[0.8],1,27.5,3218,2High,2High,D,47.8
8,2012,M8336_RR,EPO_FLUX_PYRA[0.8],2,33.5,3824,2High,2High,D,47.8
8,2012,M8336_RR,EPO_FLUX_PYRA[0.8],3,30,3795,2High,2High,D,47.8
8,2012,M8336_RR,EPO_FLUX_PYRA[0.8],4,28,3417,2High,2High,D,47.8
8,2012,M8336_RR,EPO_FLUX_PYRA[1],1,26,3330,2High,2High,D,47.8
8,2012,M8336_RR,EPO_FLUX_PYRA[1],2,18,4174,2High,2High,D,47.8
8,2012,M8336_RR,EPO_FLUX_PYRA[1],3,24.5,3546,2High,2High,D,47.8
8,2012,M8336_RR,EPO_FLUX_PYRA[1],4,26.5,3150,2High,2High,D,47.8
8,2012,M8336_RR,FLUO[0.4],1,30,3387,2High,2High,D,47.8
8,2012,M8336_RR,FLUO[0.4],2,30,3798,2High,2High,D,47.8
